<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.16	02:07:00	5010.50	5014.78	5010.50	5014.77	271	0	19
2026.02.16	02:08:00	5014.77	5016.59	5013.07	5014.44	407	0	19
2026.02.16	02:09:00	5014.44	5016.70	5013.44	5015.62	290	0	19
2026.02.16	02:10:00	5015.62	5016.40	5013.31	5013.34	306	0	19
2026.02.16	02:11:00	5013.34	5014.51	5012.71	5014.12	253	0	19
2026.02.16	02:12:00	5014.12	5017.36	5013.71	5017.33	202	0	19
2026.02.16	02:13:00	5017.33	5018.28	5016.35	5016.86	306	0	20
2026.02.16	02:14:00	5016.86	5017.82	5016.66	5017.60	160	0	18
2026.02.16	02:15:00	5017.60	5018.04	5016.47	5016.47	222	0	18
2026.02.16	02:16:00	5016.47	5019.84	5015.72	5019.73	249	0	19
2026.02.16	02:17:00	5019.73	5021.29	5018.57	5019.34	314	0	20
2026.02.16	02:18:00	5019.31	5019.95	5017.91	5019.07	294	0	20
2026.02.16	02:19:00	5019.07	5019.30	5017.44	5018.26	173	0	19
2026.02.16	02:20:00	5018.26	5018.28	5015.06	5015.98	199	0	19
2026.02.16	02:21:00	5015.98	5018.60	5014.74	5014.82	263	0	20
2026.02.16	02:22:00	5014.82	5014.99	5012.69	5013.88	207	0	19
2026.02.16	02:23:00	5013.88	5015.18	5013.60	5013.84	216	0	19
2026.02.16	02:24:00	5013.84	5016.55	5013.37	5014.65	243	0	19
2026.02.16	02:25:00	5014.68	5015.15	5008.91	5009.40	297	0	21
2026.02.16	02:26:00	5009.40	5010.83	5008.49	5010.02	331	0	20
2026.02.16	02:27:00	5010.02	5010.41	5009.19	5010.16	160	0	19
2026.02.16	02:28:00	5010.16	5012.02	5009.85	5011.71	244	0	19
2026.02.16	02:29:00	5011.71	5012.46	5011.01	5012.38	147	0	18
2026.02.16	02:30:00	5012.38	5012.62	5012.07	5012.38	133	0	17
2026.02.16	02:31:00	5012.38	5013.25	5011.57	5013.20	105	0	17
2026.02.16	02:32:00	5013.20	5014.49	5011.61	5012.74	211	0	18
2026.02.16	02:33:00	5012.73	5012.90	5010.77	5012.79	275	0	20
2026.02.16	02:34:00	5012.82	5013.90	5008.91	5009.76	405	0	22
2026.02.16	02:35:00	5009.78	5009.82	5009.13	5009.53	159	0	19
2026.02.16	02:36:00	5009.53	5013.28	5009.38	5011.08	281	0	19
2026.02.16	02:37:00	5011.08	5011.45	5009.38	5010.48	207	0	20
2026.02.16	02:38:00	5010.48	5011.38	5009.59	5011.36	258	0	18
2026.02.16	02:39:00	5011.36	5013.80	5010.75	5013.66	260	0	18
2026.02.16	02:40:00	5013.70	5014.78	5013.56	5013.89	205	0	17
2026.02.16	02:41:00	5013.89	5014.35	5013.84	5014.04	108	0	16
2026.02.16	02:42:00	5014.04	5014.13	5013.04	5013.82	209	0	16
2026.02.16	02:43:00	5013.82	5014.24	5013.30	5014.05	128	0	16
2026.02.16	02:44:00	5014.05	5014.22	5013.92	5014.15	254	0	16
2026.02.16	02:45:00	5014.15	5014.15	5012.53	5013.01	175	0	16
2026.02.16	02:46:00	5013.01	5014.04	5011.34	5011.47	175	0	16
2026.02.16	02:47:00	5011.47	5012.70	5010.57	5012.08	243	0	19
2026.02.16	02:48:00	5012.08	5015.45	5012.08	5015.45	129	0	20
2026.02.16	02:49:00	5015.45	5018.41	5014.39	5018.30	368	0	20
2026.02.16	02:50:00	5018.30	5018.47	5017.25	5017.54	154	0	20
2026.02.16	02:51:00	5017.54	5018.88	5017.35	5018.39	173	0	19
2026.02.16	02:52:00	5018.39	5022.64	5018.35	5020.31	391	0	21
2026.02.16	02:53:00	5020.31	5020.94	5019.36	5019.71	239	0	23
2026.02.16	02:54:00	5019.71	5020.85	5018.54	5020.20	296	0	19
2026.02.16	02:55:00	5020.20	5022.06	5020.20	5020.31	251	0	19
2026.02.16	02:56:00	5020.31	5020.32	5015.96	5016.20	211	0	17
2026.02.16	02:57:00	5016.20	5017.04	5015.19	5015.91	135	0	16
2026.02.16	02:58:00	5015.91	5016.67	5015.90	5016.19	126	0	16
2026.02.16	02:59:00	5016.19	5016.21	5015.06	5015.62	87	0	16
2026.02.16	03:00:00	5015.62	5015.62	5010.06	5010.08	261	0	16
2026.02.16	03:01:00	5010.08	5011.06	5007.04	5008.98	336	0	25
2026.02.16	03:02:00	5008.98	5011.77	5008.03	5011.77	245	0	21
2026.02.16	03:03:00	5011.75	5015.03	5011.62	5014.75	208	0	25
2026.02.16	03:04:00	5014.76	5017.70	5014.73	5016.74	312	0	23
2026.02.16	03:05:00	5016.74	5018.35	5016.74	5018.35	182	0	16
2026.02.16	03:06:00	5018.35	5021.84	5018.35	5021.31	335	0	16
2026.02.16	03:07:00	5021.30	5022.11	5018.84	5019.71	366	0	17
2026.02.16	03:08:00	5019.71	5020.45	5019.06	5020.39	238	0	20
2026.02.16	03:09:00	5020.39	5021.90	5019.77	5021.74	205	0	16
2026.02.16	03:10:00	5021.74	5023.10	5020.22	5020.79	351	0	16
2026.02.16	03:11:00	5020.79	5021.45	5016.86	5018.64	249	0	16
2026.02.16	03:12:00	5018.64	5023.45	5018.25	5021.55	310	0	25
2026.02.16	03:13:00	5021.55	5022.38	5020.96	5022.38	228	0	16
2026.02.16	03:14:00	5022.38	5023.60	5021.35	5023.10	186	0	16
2026.02.16	03:15:00	5023.10	5025.12	5022.84	5023.41	243	0	16
2026.02.16	03:16:00	5023.41	5023.72	5022.80	5023.68	202	0	16
2026.02.16	03:17:00	5023.68	5025.50	5023.63	5024.45	241	0	16
2026.02.16	03:18:00	5024.45	5026.70	5024.41	5026.70	243	0	16
2026.02.16	03:19:00	5026.70	5029.59	5026.27	5028.99	332	0	16
2026.02.16	03:20:00	5029.01	5031.18	5028.81	5030.90	366	0	16
2026.02.16	03:21:00	5030.89	5031.02	5029.76	5030.33	310	0	16
2026.02.16	03:22:00	5030.33	5030.46	5028.08	5028.17	259	0	16
2026.02.16	03:23:00	5028.17	5028.20	5025.30	5026.29	243	0	16
2026.02.16	03:24:00	5026.29	5027.45	5025.67	5027.22	240	0	16
2026.02.16	03:25:00	5027.22	5030.90	5027.22	5029.69	268	0	16
2026.02.16	03:26:00	5029.69	5030.09	5027.70	5028.68	175	0	16
2026.02.16	03:27:00	5028.68	5030.01	5027.20	5029.09	235	0	16
2026.02.16	03:28:00	5029.09	5029.38	5027.14	5028.53	280	0	18
2026.02.16	03:29:00	5028.53	5029.21	5027.73	5029.21	201	0	16
2026.02.16	03:30:00	5029.21	5030.42	5028.98	5030.36	219	0	16
2026.02.16	03:31:00	5030.36	5030.95	5029.07	5029.36	308	0	16
2026.02.16	03:32:00	5029.37	5029.80	5028.39	5029.52	218	0	16
2026.02.16	03:33:00	5029.52	5029.52	5026.39	5028.00	284	0	16
2026.02.16	03:34:00	5028.00	5029.81	5026.93	5029.15	255	0	21
2026.02.16	03:35:00	5029.15	5029.85	5028.49	5029.29	212	0	16
2026.02.16	03:36:00	5029.29	5030.46	5029.07	5030.18	174	0	16
2026.02.16	03:37:00	5030.18	5030.48	5029.75	5030.02	129	0	16
2026.02.16	03:38:00	5030.02	5030.02	5027.27	5027.39	229	0	16
2026.02.16	03:39:00	5027.39	5028.38	5026.91	5028.32	163	0	16
2026.02.16	03:40:00	5028.32	5028.73	5027.78	5028.39	168	0	16
2026.02.16	03:41:00	5028.39	5029.60	5027.91	5028.96	176	0	16
2026.02.16	03:42:00	5028.96	5029.95	5028.07	5029.95	240	0	16
2026.02.16	03:43:00	5029.95	5030.19	5029.17	5029.30	236	0	16
2026.02.16	03:44:00	5029.30	5030.48	5029.17	5030.38	203	0	16
2026.02.16	03:45:00	5030.38	5030.63	5029.76	5030.41	174	0	16
2026.02.16	03:46:00	5030.41	5030.51	5028.40	5028.88	181	0	16
2026.02.16	03:47:00	5028.88	5029.53	5028.50	5028.95	151	0	18
2026.02.16	03:48:00	5028.95	5029.53	5028.85	5029.20	115	0	16
2026.02.16	03:49:00	5029.21	5029.35	5028.41	5028.41	121	0	16
2026.02.16	03:50:00	5028.41	5028.44	5027.30	5027.77	162	0	17
2026.02.16	03:51:00	5027.77	5027.81	5026.34	5027.27	135	0	17
2026.02.16	03:52:00	5027.27	5028.04	5026.93	5027.47	149	0	17
2026.02.16	03:53:00	5027.47	5028.14	5026.13	5027.18	177	0	20
2026.02.16	03:54:00	5027.18	5027.22	5025.43	5026.66	173	0	22
2026.02.16	03:55:00	5026.65	5026.93	5026.25	5026.68	179	0	18
2026.02.16	03:56:00	5026.68	5028.12	5025.77	5027.30	185	0	18
2026.02.16	03:57:00	5027.30	5028.88	5027.00	5028.61	202	0	18
2026.02.16	03:58:00	5028.64	5029.04	5028.10	5028.18	177	0	17
2026.02.16	03:59:00	5028.17	5029.14	5028.07	5028.89	140	0	16
2026.02.16	04:00:00	5028.89	5030.92	5028.89	5030.20	341	0	20
2026.02.16	04:01:00	5030.20	5030.22	5029.28	5029.28	139	0	20
2026.02.16	04:02:00	5029.28	5030.47	5029.12	5030.34	153	0	16
2026.02.16	04:03:00	5030.34	5031.16	5030.18	5030.91	143	0	16
2026.02.16	04:04:00	5030.91	5030.99	5029.03	5029.15	165	0	16
2026.02.16	04:05:00	5029.15	5029.15	5026.22	5026.61	183	0	16
2026.02.16	04:06:00	5026.61	5026.69	5025.58	5026.57	152	0	20
2026.02.16	04:07:00	5026.57	5026.64	5023.09	5024.05	258	0	18
2026.02.16	04:08:00	5024.05	5025.68	5022.92	5025.68	331	0	25
2026.02.16	04:09:00	5025.68	5026.48	5023.73	5023.77	261	0	22
2026.02.16	04:10:00	5023.77	5024.65	5023.00	5023.64	257	0	17
2026.02.16	04:11:00	5023.64	5023.68	5021.19	5022.20	280	0	16
2026.02.16	04:12:00	5022.20	5023.69	5021.76	5022.80	285	0	23
2026.02.16	04:13:00	5022.80	5022.82	5020.71	5020.86	238	0	21
2026.02.16	04:14:00	5020.86	5022.38	5020.41	5022.18	239	0	22
2026.02.16	04:15:00	5022.18	5023.21	5022.06	5022.86	227	0	24
2026.02.16	04:16:00	5022.86	5024.96	5022.84	5024.96	199	0	18
2026.02.16	04:17:00	5024.96	5026.09	5024.94	5025.48	189	0	16
2026.02.16	04:18:00	5025.48	5025.50	5024.08	5024.73	109	0	16
2026.02.16	04:19:00	5024.73	5024.74	5023.38	5023.59	118	0	16
2026.02.16	04:20:00	5023.60	5024.24	5023.07	5023.38	142	0	16
2026.02.16	04:21:00	5023.38	5024.08	5022.96	5024.00	164	0	16
2026.02.16	04:22:00	5024.00	5024.65	5023.56	5024.52	172	0	16
2026.02.16	04:23:00	5024.52	5025.05	5023.71	5023.93	167	0	16
2026.02.16	04:24:00	5023.93	5024.58	5023.63	5023.93	119	0	16
2026.02.16	04:25:00	5023.93	5024.14	5021.57	5021.81	153	0	16
2026.02.16	04:26:00	5021.81	5022.37	5020.87	5021.00	155	0	16
2026.02.16	04:27:00	5021.00	5021.49	5020.11	5021.00	240	0	16
2026.02.16	04:28:00	5021.00	5021.02	5018.93	5019.68	280	0	16
2026.02.16	04:29:00	5019.68	5019.94	5018.94	5019.54	179	0	16
2026.02.16	04:30:00	5019.54	5021.86	5019.54	5021.48	218	0	16
2026.02.16	04:31:00	5021.48	5021.56	5020.03	5020.71	229	0	21
2026.02.16	04:32:00	5020.71	5021.82	5020.50	5021.78	194	0	16
2026.02.16	04:33:00	5021.78	5021.78	5018.47	5020.88	288	0	16
2026.02.16	04:34:00	5020.88	5021.47	5019.09	5019.15	237	0	23
2026.02.16	04:35:00	5019.15	5019.54	5010.20	5010.40	537	0	23
2026.02.16	04:36:00	5010.40	5011.56	5010.22	5011.16	245	0	21
2026.02.16	04:37:00	5011.16	5011.16	5002.36	5008.35	450	0	21
2026.02.16	04:38:00	5008.35	5008.45	5006.61	5007.26	161	0	23
2026.02.16	04:39:00	5007.26	5010.20	5006.30	5009.11	340	0	22
2026.02.16	04:40:00	5009.11	5009.98	5006.96	5009.38	255	0	23
2026.02.16	04:41:00	5009.38	5009.38	5003.53	5005.39	356	0	24
2026.02.16	04:42:00	5005.40	5007.23	5004.34	5005.42	243	0	21
2026.02.16	04:43:00	5005.42	5005.52	5003.37	5003.81	257	0	20
2026.02.16	04:44:00	5003.81	5005.16	5002.42	5002.44	235	0	18
